                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0131,                0.59949,                0.95384,                 1.0555,                0.53562,                0.93491,                0.94471,                0.94291,                0.98359,                0.73905,                0.90747,                0.56721,                0.95825,                 0.9303,                0.42352,                0.95458,             0.00033967,             0.00033967,             0.00033967
                     80,                0.91163,                0.55813,                0.96691,                0.89487,                  0.595,                0.95732,                0.94861,                0.92282,                0.98498,                0.72953,                0.89205,                0.56856,                0.95421,                0.89731,                0.40252,                0.94186,             0.00032553,             0.00032553,             0.00032553
                     81,                 0.9398,                 0.5831,                0.94015,                  1.021,                0.54164,                0.94518,                0.94861,                0.92282,                0.98498,                0.72953,                0.89205,                0.56856,                0.95421,                0.89731,                0.40252,                0.94186,             0.00031138,             0.00031138,             0.00031138
                     82,                0.90265,                0.54325,                0.92142,                0.93779,                0.52527,                0.92162,                0.97723,                0.92546,                0.99081,                0.75566,                0.90811,                0.53008,                0.94781,                0.85138,                0.47475,                 0.9275,             0.00029723,             0.00029723,             0.00029723
                     83,                0.88387,                0.56738,                0.93839,                0.93707,                0.48314,                0.92289,                0.97122,                0.98236,                0.99221,                0.76608,                0.85778,                0.50255,                0.92585,                 0.7699,                0.45923,                0.91195,             0.00028308,             0.00028308,             0.00028308
                     84,                0.83083,                 0.5571,                 0.9478,                0.91516,                0.54336,                0.96835,                0.95699,                 0.9641,                0.99068,                0.77507,                0.82632,                0.49312,                0.91295,                0.75149,                0.35393,                0.89715,             0.00026894,             0.00026894,             0.00026894
                     85,                0.80713,                0.51602,                0.90267,                0.92883,                0.46066,                 0.9077,                0.95699,                 0.9641,                0.99068,                0.77507,                0.82632,                0.49312,                0.91295,                0.75149,                0.35393,                0.89715,             0.00025479,             0.00025479,             0.00025479
                     86,                0.92002,                0.52647,                0.94593,                0.98984,                0.47749,                0.94682,                0.92865,                0.95098,                0.98718,                0.77252,                0.81208,                0.48812,                0.91208,                0.75628,                0.37742,                 0.9077,             0.00024064,             0.00024064,             0.00024064
                     87,                0.90069,                0.53171,                0.97328,                0.94223,                0.45418,                0.95323,                0.90396,                0.98423,                0.98596,                0.76515,                0.80963,                0.48941,                0.90992,                0.77162,                0.36512,                0.91305,              0.0002265,              0.0002265,              0.0002265
                     88,                0.89697,                0.56391,                0.95844,                0.96913,                0.55017,                  0.983,                 0.9156,                0.96078,                0.98771,                0.76186,                0.79827,                 0.4891,                0.90762,                0.77516,                 0.3558,                0.91131,             0.00021235,             0.00021235,             0.00021235
                     89,                0.89621,                0.51284,                 0.9575,                0.97931,                 0.5206,                0.96438,                 0.9156,                0.96078,                0.98771,                0.76186,                0.79827,                 0.4891,                0.90762,                0.77516,                 0.3558,                0.91131,              0.0001982,              0.0001982,              0.0001982
                     90,                0.88307,                0.55294,                0.95504,                0.92094,                 0.5729,                0.95978,                0.97552,                0.92691,                0.98825,                0.76088,                0.78758,                0.50615,                 0.9151,                0.79214,                0.34594,                0.91714,             0.00018406,             0.00018406,             0.00018406
                     91,                0.83784,                0.54746,                0.89514,                0.92398,                0.47145,                0.91572,                0.90387,                0.96754,                0.98749,                0.76923,                0.77586,                0.51224,                0.91557,                0.79293,                0.36178,                0.91435,             0.00016991,             0.00016991,             0.00016991
                     92,                0.70836,                0.46192,                0.92588,                0.82099,                0.52899,                0.95152,                0.92316,                0.92454,                0.98383,                0.77546,                0.75147,                0.51244,                0.90522,                0.77921,                0.41157,                0.90379,             0.00015576,             0.00015576,             0.00015576
                     93,                0.85965,                0.54237,                0.91393,                0.92385,                0.51268,                0.93802,                0.92316,                0.92454,                0.98383,                0.77546,                0.75147,                0.51244,                0.90522,                0.77921,                0.41157,                0.90379,             0.00014161,             0.00014161,             0.00014161
                     94,                0.77133,                0.53382,                0.92791,                0.87205,                0.55569,                0.92033,                0.91763,                0.93536,                0.98343,                0.77777,                0.74705,                0.51061,                0.90168,                0.75739,                0.40102,                0.89519,             0.00012747,             0.00012747,             0.00012747
                     95,                0.81993,                0.48616,                0.89405,                0.82524,                0.49778,                0.92152,                0.89927,                0.93845,                0.98385,                0.78502,                0.76034,                0.49576,                0.90311,                0.76334,                 0.3619,                0.88484,             0.00011332,             0.00011332,             0.00011332
                     96,                0.76949,                0.45434,                  0.919,                0.78338,                0.46944,                0.94306,                0.90988,                0.93077,                0.97782,                0.78083,                0.76588,                0.48539,                0.90485,                0.75638,                0.40099,                0.88251,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.73699,                0.51365,                0.89285,                0.85859,                0.50634,                0.89418,                0.90988,                0.93077,                0.97782,                0.78083,                0.76588,                0.48539,                0.90485,                0.75638,                0.40099,                0.88251,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.75201,                0.48408,                0.90472,                0.72476,                 0.4835,                0.91739,                0.90833,                0.94061,                0.98062,                0.78782,                0.76587,                0.48101,                0.90758,                0.75246,                0.40426,                0.89071,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.75953,                  0.483,                 0.8675,                 0.8117,                0.46759,                0.85791,                0.91686,                0.94304,                0.98264,                0.79252,                0.75983,                 0.4754,                0.90789,                0.73897,                0.40236,                 0.8921,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.75911,                0.50769,                0.91455,                0.84561,                0.54255,                  0.898,                0.86495,                0.95223,                0.97941,                0.79055,                0.75018,                0.47101,                0.90824,                0.73048,                0.39245,                 0.8891,             4.2584e-05,             4.2584e-05,             4.2584e-05
